cust_id,RFM_Level_Dec_2014,RFM_Level_May_2014,RFM_Level_Dec_2013
266783,Middle,Middle,Middle
266784,Middle,Middle,Middle
266785,Middle,Middle,Middle
266788,Top,Top,Top
266794,Top,Middle,Top
266799,Top,Top,Top
266803,Middle,Middle,Middle
266804,Middle,Top,Top
266806,Top,Top,Top
266807,Middle,Middle,Middle
266809,Top,Top,Top
266810,Top,Top,Top
266812,Middle,Middle,Middle
266814,Middle,Middle,Top
266815,Top,Top,Top
266816,Top,Top,Top
266817,Middle,Middle,Middle
266818,Middle,Middle,Middle
266819,Top,Top,Top
266820,Top,Top,Top
266821,Middle,Middle,Low
266822,Top,Top,Top
266823,Top,Top,Top
266824,Middle,Middle,Middle
266825,Top,Top,Low
266827,Top,Middle,Middle
266829,Top,Top,Top
266830,Top,Top,Top
266831,Top,Top,Middle
266833,Middle,Middle,Low
266835,Top,Top,Top
266836,Middle,Middle,Middle
266838,Middle,Middle,Middle
266841,Top,Top,Top
266842,Top,Top,Top
266843,Top,Middle,Middle
266844,Top,Top,Top
266845,Low,Low,Low
266846,Top,Top,Top
266847,Top,Top,Top
266848,Middle,Middle,Middle
266849,Top,Top,Top
266851,Top,Top,Top
266852,Low,Low,Low
266853,Top,Top,Top
266854,Middle,Top,Top
266855,Top,Top,Top
266856,Middle,Middle,Middle
266857,Top,Top,Top
266858,Top,Top,Top
266860,Top,Top,Top
266861,Top,Top,Top
266862,Top,Top,Top
266863,Top,Top,Top
266864,Top,Middle,Top
266865,Middle,Middle,Middle
266866,Middle,Middle,Middle
266867,Top,Top,Top
266870,Middle,Middle,Middle
266872,Middle,Middle,Middle
266875,Middle,Middle,Top
266878,Top,Top,Top
266881,Low,Low,Low
266883,Low,Low,Middle
266885,Middle,Middle,Middle
266886,Middle,Middle,Middle
266887,Top,Top,Top
266888,Top,Top,Top
266889,Middle,Middle,Top
266891,Top,Top,Top
266892,Middle,Middle,Middle
266894,Top,Top,Top
266895,Top,Top,Top
266896,Middle,Middle,Top
266897,Middle,Middle,Middle
266900,Top,Middle,Middle
266901,Top,Top,Top
266902,Middle,Middle,Middle
266903,Top,Top,Top
266904,Low,Low,Low
266906,Top,Top,Top
266907,Middle,Middle,Middle
266910,Top,Middle,Top
266911,Top,Top,Top
266915,Middle,Middle,Top
266916,Middle,Middle,Top
266917,Top,Top,Top
266918,Top,Top,Top
266919,Top,Top,Top
266920,Top,Middle,Top
266921,Middle,Middle,Middle
266922,Middle,Middle,Middle
266923,Top,Top,Top
266927,Middle,Middle,Middle
266929,Middle,Middle,Middle
266930,Middle,Middle,Middle
266931,Middle,Middle,Middle
266934,Top,Top,Middle
266935,Top,Top,Top
266936,Top,Top,Top
266937,Middle,Middle,Middle
266939,Middle,Middle,Top
266940,Top,Top,Top
266941,Middle,Middle,Middle
266942,Top,Top,Top
266943,Middle,Middle,Middle
266944,Top,Top,Top
266945,Middle,Middle,Middle
266950,Top,Middle,Top
266952,Top,Top,Top
266953,Top,Top,Top
266956,Top,Top,Top
266957,Middle,Middle,Top
266958,Top,Top,Top
266959,Top,Top,Top
266960,Middle,Middle,Top
266964,Top,Top,Top
266966,Top,Top,Top
266972,Top,Top,Top
266974,Top,Top,Top
266975,Top,Top,Top
266976,Middle,Middle,Top
266978,Top,Top,Top
266980,Top,Top,Top
266982,Middle,Middle,Middle
266986,Middle,Middle,Top
266987,Top,Top,Top
266989,Top,Top,Top
266990,Middle,Middle,Middle
266991,Middle,Middle,Middle
266992,Middle,Middle,Middle
266993,Top,Top,Top
266997,Top,Top,Top
266998,Middle,Middle,Middle
266999,Top,Top,Top
267000,Middle,Middle,Top
267001,Top,Top,Top
267002,Middle,Low,Low
267004,Top,Top,Top
267005,Top,Top,Top
267008,Top,Top,Top
267010,Top,Top,Top
267012,Middle,Middle,Middle
267014,Top,Top,Top
267015,Top,Top,Top
267016,Middle,Middle,Middle
267017,Top,Top,Top
267018,Middle,Middle,Top
267019,Top,Top,Top
267020,Middle,Middle,Top
267021,Top,Top,Top
267022,Middle,Middle,Top
267023,Middle,Middle,Middle
267024,Middle,Middle,Top
267025,Top,Middle,Middle
267028,Top,Top,Top
267030,Middle,Middle,Low
267032,Top,Top,Top
267033,Top,Top,Top
267034,Top,Top,Top
267037,Middle,Middle,Middle
267042,Low,Low,Middle
267043,Top,Top,Top
267044,Middle,Middle,Middle
267045,Top,Top,Top
267046,Top,Top,Top
267048,Top,Top,Top
267049,Top,Top,Top
267051,Middle,Middle,Middle
267053,Top,Top,Top
267056,Middle,Middle,Top
267058,Top,Top,Middle
267061,Top,Top,Top
267066,Top,Top,Middle
267067,Top,Top,Top
267068,Top,Middle,Middle
267072,Top,Top,Top
267073,Top,Top,Top
267075,Top,Top,Top
267076,Middle,Middle,Middle
267078,Top,Top,Top
267081,Middle,Middle,Middle
267083,Top,Top,Top
267084,Top,Middle,Top
267085,Top,Top,Top
267088,Middle,Middle,Middle
267090,Top,Top,Middle
267091,Middle,Middle,Middle
267092,Middle,Middle,Middle
267093,Top,Top,Top
267094,Top,Top,Low
267097,Top,Top,Top
267099,Low,Low,Low
267100,Top,Top,Top
267101,Middle,Middle,Middle
267102,Top,Top,Top
267103,Top,Top,Top
267104,Middle,Middle,Middle
267105,Top,Top,Top
267106,Top,Top,Top
267107,Top,Top,Middle
267108,Top,Top,Top
267110,Middle,Middle,Top
267112,Top,Top,Top
267113,Middle,Middle,Middle
267116,Middle,Middle,Middle
267117,Middle,Middle,Middle
267119,Middle,Middle,Middle
267122,Top,Top,Top
267124,Top,Top,Middle
267125,Middle,Middle,Middle
267126,Top,Top,Top
267129,Top,Top,Middle
267134,Top,Top,Top
267135,Top,Top,Top
267139,Top,Top,Top
267140,Middle,Middle,Middle
267143,Top,Top,Top
267145,Middle,Middle,Middle
267146,Top,Top,Top
267147,Top,Top,Top
267148,Top,Top,Top
267149,Top,Top,Top
267151,Middle,Middle,Top
267152,Top,Top,Top
267155,Top,Top,Top
267156,Top,Top,Top
267157,Middle,Middle,Middle
267158,Middle,Middle,Middle
267160,Top,Top,Top
267161,Middle,Middle,Middle
267162,Middle,Middle,Middle
267163,Middle,Middle,Top
267164,Top,Top,Middle
267165,Top,Middle,Middle
267166,Middle,Middle,Middle
267167,Top,Top,Top
267169,Middle,Middle,Middle
267170,Top,Top,Top
267172,Middle,Middle,Middle
267173,Top,Top,Top
267174,Top,Middle,Top
267176,Middle,Middle,Middle
267177,Top,Top,Top
267178,Top,Top,Middle
267179,Middle,Middle,Middle
267180,Middle,Middle,Middle
267181,Middle,Middle,Middle
267182,Middle,Middle,Top
267183,Top,Top,Top
267188,Top,Top,Middle
267189,Middle,Middle,Middle
267191,Middle,Middle,Middle
267192,Middle,Middle,Middle
267193,Top,Top,Top
267196,Middle,Middle,Middle
267199,Middle,Top,Top
267203,Middle,Middle,Top
267205,Middle,Middle,Middle
267207,Middle,Middle,Middle
267208,Top,Top,Top
267209,Middle,Middle,Middle
267210,Top,Top,Top
267211,Top,Top,Top
267212,Top,Top,Top
267214,Middle,Middle,Middle
267215,Top,Top,Top
267216,Top,Top,Top
267217,Top,Middle,Top
267220,Top,Top,Top
267222,Middle,Middle,Middle
267224,Top,Middle,Middle
267226,Top,Top,Top
267227,Top,Top,Top
267228,Middle,Middle,Middle
267230,Top,Top,Top
267231,Low,Middle,Middle
267232,Top,Top,Middle
267233,Middle,Middle,Middle
267234,Top,Top,Top
267235,Top,Top,Top
267236,Top,Top,Top
267237,Top,Top,Top
267239,Top,Top,Middle
267240,Middle,Middle,Top
267241,Top,Top,Top
267242,Middle,Middle,Middle
267243,Top,Top,Top
267244,Low,Middle,Middle
267245,Middle,Middle,Middle
267246,Top,Top,Top
267247,Top,Top,Top
267248,Middle,Middle,Middle
267251,Low,Low,Middle
267252,Top,Middle,Middle
