Median_Value,RFM_Value,RFM_Level,Period
736.0,Recency,Low,2014-12-02
694.0,Recency,Middle,2014-12-02
398.5,Recency,Top,2014-12-02
5.0,Frequency,Low,2014-12-02
3.0,Frequency,Middle,2014-12-02
4.0,Frequency,Top,2014-12-02
3850.9,MonetaryValue,Low,2014-12-02
4891.8,MonetaryValue,Middle,2014-12-02
10139.5,MonetaryValue,Top,2014-12-02
519.0,Recency,Low,2014-05-02
469.0,Recency,Middle,2014-05-02
197.0,Recency,Top,2014-05-02
6.0,Frequency,Low,2014-05-02
4.0,Frequency,Middle,2014-05-02
4.0,Frequency,Top,2014-05-02
4055.4,MonetaryValue,Low,2014-05-02
5186.3,MonetaryValue,Middle,2014-05-02
9948.3,MonetaryValue,Top,2014-05-02
444.0,Recency,Low,2013-12-02
368.0,Recency,Middle,2013-12-02
101.0,Recency,Top,2013-12-02
5.0,Frequency,Low,2013-12-02
3.0,Frequency,Middle,2013-12-02
4.0,Frequency,Top,2013-12-02
3245.4,MonetaryValue,Low,2013-12-02
4862.0,MonetaryValue,Middle,2013-12-02
9748.3,MonetaryValue,Top,2013-12-02
