,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
266783,710,1166,4,3697.8824999999997,0.2648156788954739,0.34504297331877193,3957.950158078976,1013.0062482537128,2014-12-02
266784,150,964,3,1898.0216666666668,0.030991480295552556,0.04099767908296283,2080.799193222035,62.32969654552926,2014-12-02
266785,701,1358,7,5038.8,0.09197968880759023,0.09965362094333326,5235.228911387484,465.37947311313314,2014-12-02
266788,811,1176,4,1523.2424999999998,0.35854997709398706,0.469183457224041,1630.8462676395927,565.1447422359613,2014-12-02
266794,1355,1355,11,2568.5222727272726,1.0965311464015017,0.9063744403403146,2631.490474483282,2788.715050583823,2014-12-02
266799,667,759,3,3319.42,0.6251963430020095,0.7471844867904531,3638.2492648315656,2198.6833431571586,2014-12-02
266803,0,1030,1,3984.63,0.015540504937128087,0.027307896811516717,5403.812447203324,81.16644722620178,2014-12-02
266804,0,483,1,1588.99,0.1470452831778434,0.19377214999690762,2157.3960314881506,306.6805368850149,2014-12-02
266805,0,340,1,4623.32,0.2696134233786775,0.3243088282512606,6269.323834787903,1634.1947396775033,2014-12-02
266806,665,1034,6,3371.539166666667,0.37511863643438514,0.3837924397717782,3526.0533366755344,1278.418761038831,2014-12-02
266807,425,1132,4,1454.18,0.07288381660561223,0.09357593545429124,1556.9417995743179,109.67447041600745,2014-12-02
266809,769,1273,5,2999.1910000000003,0.22986696750591665,0.28464241948158886,3165.721854638503,703.2932362198914,2014-12-02
266810,734,1378,5,3969.381,0.1272440431114101,0.16436514690973894,4189.575359470588,515.2097280404764,2014-12-02
266812,119,1295,2,628.1925000000001,0.008598142843368158,0.014804283224713307,724.6595205140417,6.021724987351795,2014-12-02
266813,0,316,1,1037.595,0.2972853482367409,0.35186085417330265,1410.1811830371034,405.3188796246611,2014-12-02
266814,509,1056,5,2433.4309999999996,0.1551562981916625,0.1749923595242096,2568.668330180612,385.20291804714986,2014-12-02
266815,312,975,3,2533.028333333333,0.08613103271973505,0.11453049286930043,2776.5866831040844,231.14894070374328,2014-12-02
266816,966,1325,5,2240.2769999999996,0.39022457190567805,0.49353943385628934,2364.8305253461604,891.8594651603718,2014-12-02
266817,310,1050,3,1034.28,0.06110490545415311,0.08410838818383799,1134.382914931195,66.995698864366,2014-12-02
266818,697,1238,4,2135.965,0.19482511768079736,0.2617076420759298,2286.526708314714,430.53785522753117,2014-12-02
266819,824,1396,3,2478.1466666666665,0.18778372683021677,0.29896104684644464,2716.4519174472252,492.9846059136297,2014-12-02
266820,1119,1422,4,2023.8075,0.4081674699861739,0.5903665047727159,2166.5058521767073,854.6140315764158,2014-12-02
